Iteration,Cost,Temperature
0,1832899,100
1,1832899,100
2,1832899,100
3,1816282,100
4,1816282,100
5,1793442,100
6,1793442,100
7,1793442,100
8,1793442,100
9,1793442,100
10,1793442,99
11,1714723,99
12,1714723,99
13,1714730,99
14,1714730,99
15,1699228,99
16,1659057,99
17,1659057,99
18,1613464,99
19,1613464,99
20,1613464,94.05
21,1609410,94.05
22,1609410,94.05
23,1602105,94.05
24,1591767,94.05
25,1591126,94.05
26,1591126,94.05
27,1591126,94.05
28,1591126,94.05
29,1591126,94.05
30,1587766,89.3475
31,1587766,89.3475
32,1587766,89.3475
33,1587766,89.3475
34,1587766,89.3475
35,1587766,89.3475
36,1587766,89.3475
37,1587147,89.3475
38,1577948,89.3475
39,1577948,89.3475
40,1577948,88.454
41,1544227,88.454
42,1542415,88.454
43,1532115,88.454
44,1528298,88.454
45,1528298,88.454
46,1528298,88.454
47,1528340,88.454
48,1528340,88.454
49,1528340,88.454
50,1528340,84.0313
51,1519598,84.0313
52,1511065,84.0313
53,1511065,84.0313
54,1506274,84.0313
55,1506274,84.0313
56,1501086,84.0313
57,1501086,84.0313
58,1501086,84.0313
59,1501086,84.0313
60,1501086,79.8298
61,1501086,79.8298
62,1501086,79.8298
63,1501086,79.8298
64,1501086,79.8298
65,1501086,79.8298
66,1501086,79.8298
67,1501086,79.8298
68,1501086,79.8298
69,1501086,79.8298
70,1501086,79.0315
71,1501086,79.0315
72,1491578,79.0315
73,1491578,79.0315
74,1491578,79.0315
75,1491578,79.0315
76,1486854,79.0315
77,1486854,79.0315
78,1486854,79.0315
79,1486854,79.0315
80,1486854,78.2411
81,1484276,78.2411
82,1480486,78.2411
83,1480486,78.2411
84,1480486,78.2411
85,1480486,78.2411
86,1480486,78.2411
87,1480486,78.2411
88,1473406,78.2411
89,1473406,78.2411
90,1473406,77.4587
91,1473406,77.4587
92,1473406,77.4587
93,1473406,77.4587
94,1473406,77.4587
95,1473406,77.4587
96,1473406,77.4587
97,1470103,77.4587
98,1470103,77.4587
99,1470103,77.4587
100,1470087,76.6841
101,1461744,76.6841
102,1461744,76.6841
103,1461744,76.6841
104,1461744,76.6841
105,1461814,76.6841
106,1456831,76.6841
107,1427259,76.6841
108,1427259,76.6841
109,1422966,76.6841
110,1422966,72.8499
111,1422966,72.8499
112,1422966,72.8499
113,1421426,72.8499
114,1421426,72.8499
115,1420930,72.8499
116,1420930,72.8499
117,1420930,72.8499
118,1420384,72.8499
119,1411170,72.8499
120,1405993,69.2074
121,1405993,69.2074
122,1405993,69.2074
123,1405993,69.2074
124,1396521,69.2074
125,1396521,69.2074
126,1396521,69.2074
127,1394168,69.2074
128,1394168,69.2074
129,1394168,69.2074
130,1394168,68.5154
131,1394168,68.5154
132,1389670,68.5154
133,1389670,68.5154
134,1389670,68.5154
135,1389670,68.5154
136,1389686,68.5154
137,1389686,68.5154
138,1389686,68.5154
139,1389686,68.5154
140,1389686,67.8302
141,1389686,67.8302
142,1389686,67.8302
143,1389686,67.8302
144,1389232,67.8302
145,1389232,67.8302
146,1378997,67.8302
147,1378997,67.8302
148,1378997,67.8302
149,1378997,67.8302
150,1378997,67.1519
151,1378997,67.1519
152,1378997,67.1519
153,1378997,67.1519
154,1378997,67.1519
155,1378007,67.1519
156,1378007,67.1519
157,1378007,67.1519
158,1378007,67.1519
159,1378007,67.1519
160,1378007,66.4804
161,1371636,66.4804
162,1371636,66.4804
163,1371636,66.4804
164,1364700,66.4804
165,1362993,66.4804
166,1362993,66.4804
167,1362324,66.4804
168,1362452,66.4804
169,1362452,66.4804
170,1362452,63.1564
171,1362452,63.1564
172,1361955,63.1564
173,1359919,63.1564
174,1359919,63.1564
175,1359919,63.1564
176,1359919,63.1564
177,1359919,63.1564
178,1358374,63.1564
179,1351634,63.1564
180,1351596,59.9986
181,1351596,59.9986
182,1351596,59.9986
183,1351596,59.9986
184,1351296,59.9986
185,1351296,59.9986
186,1350831,59.9986
187,1350696,59.9986
188,1350690,59.9986
189,1350690,59.9986
190,1350678,56.9986
191,1350678,56.9986
192,1350694,56.9986
193,1350694,56.9986
194,1350736,56.9986
195,1350447,56.9986
196,1350405,56.9986
197,1350405,56.9986
198,1350405,56.9986
199,1350349,56.9986
200,1350266,54.1487
201,1350266,54.1487
202,1350279,54.1487
203,1350279,54.1487
204,1350279,54.1487
205,1350291,54.1487
206,1349837,54.1487
207,1349776,54.1487
208,1349776,54.1487
209,1349565,54.1487
210,1349562,51.4413
211,1349562,51.4413
212,1349574,51.4413
213,1349419,51.4413
214,1349512,51.4413
215,1349512,51.4413
216,1349512,51.4413
217,1349508,51.4413
218,1349248,51.4413
219,1349199,51.4413
220,1349106,46.8115
221,1348423,46.8115
222,1348423,46.8115
223,1348093,46.8115
224,1348093,46.8115
225,1348093,46.8115
226,1348093,46.8115
227,1348093,46.8115
228,1348093,46.8115
229,1347976,46.8115
230,1347604,44.471
231,1347581,44.471
232,1347581,44.471
233,1347543,44.471
234,1347543,44.471
235,1347543,44.471
